Category,Ministry,Scheme,Actuals_2021,BE_2022,BE_2023,Growth_percent
Demand No. 45,Ministry of Food Processing Industries,Pradhan Mantri Kisan Sampada Yojana,713.49,900,923.24,2.582222222
Demand No. 45,Ministry of Food Processing Industries,Production-Linked Incentive Scheme for Food Processing Industry,9.27,1022,1530,49.70645793
Demand No. 46,Department of Health and Family Welfare,Pardhan Mantri Swasthya Suraksha Yojana,9269.51,10000,3365,-66.35
Demand No. 46,Department of Health and Family Welfare,National AIDS and STD Control Programme,2126.33,3027.02,3079.97,1.749245132
Demand No. 46,Department of Health and Family Welfare,Global Fund Grant under Covid 19 Response Mechanism 2021(EAP),0,0,495,
Demand No. 46,Department of Health and Family Welfare,Family Welfare Schemes,300.16,484.35,516.6,6.658408176
Demand No. 46,Department of Health and Family Welfare,Establishment and strengthening of NCDC Branches and Health Initiatives Inter Sectoral coordination for preparation and control of Zoonotic Diseases and other neglected tropical diseases surveillance of Viral Hepatitis Anti Microbial Resistance,36.79,71.55,55.54,-22.37596087
Demand No. 46,Department of Health and Family Welfare,National Pharmacovigilance Programme,9.44,10,8.53,-14.7
Demand No. 46,Department of Health and Family Welfare,Development of Nursing Services,12.64,20.43,33.41,63.5340186
Demand No. 46,Department of Health and Family Welfare,Health Sector Disaster Preparedness and Response and Human Resources Development for Emergency Medical Services,32.13,130,128.14,-1.430769231
Demand No. 46,Department of Health and Family Welfare,National Organ Transplant Programme,5.88,15,15.68,4.533333333
Demand No. 46,Department of Health and Family Welfare,India COVID -19 Emergency Response and Health System Preparedness Package (Phase-II) (DBS),1477.58,0,0,
Demand No. 46,Department of Health and Family Welfare,Pradhan Mantri Garib Kalyan Package - Insurance Scheme for Health Care Workers fighting COVID-19,975.83,226,0.01,-99.99557522
Demand No. 46,Department of Health and Family Welfare,Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PMABHIM) (Health),177.07,978.87,645.86,-34.0198392
Demand No. 46,Department of Health and Family Welfare,National Tele Mental Health Programme,0,0,133.73,
Demand No. 46,Department of Health and Family Welfare,COVID -19 Emergency Response and Health System Preparedness Package - EAP,646.27,0,1.78,
Demand No. 46,Department of Health and Family Welfare,National Digital Health Mission - NHM,27.81,200,341.02,70.51
Demand No. 47,Department of Health Research,Setting up of nation wide network of laboratories for managing epidemics and national calamities,75.79,82,60,-26.82926829
Demand No. 47,Department of Health Research,Development of Infrastructure for Promotion of Health Research,57.61,80,80,0
Demand No. 47,Department of Health Research,Development of tools/support to prevent outbreaks of epidemics,14.8,15,10,-33.33333333
Demand No. 47,Department of Health Research,Human Resource and Capacity Development,59.9,87.65,92.06,5.031374786
Demand No. 47,Department of Health Research,COVID-19 Emergency Response and Health System Preparedness Package-EAP,489.24,0,0,
Demand No. 47,Department of Health Research,Prime Minister's Ayushman Bharat Health Infrastructure Mission (PM-ABHIM)-Bio Security Preparedness and strengthening Pandemic Research and Multi Sector and National Institutions and Platform for One Health,116,690,324.36,-52.99130435
Demand No. 48,Ministry of Heavy Industries,Scheme for Faster Adoption and Manufacturing of (Hybrid and) Electric Vehicle in India - (FAME - India).,800,2908.28,5171.97,77.83604055
Demand No. 48,Ministry of Heavy Industries,Development Council for Automobile and Allied Industries,21.7,28.62,0,-100
Demand No. 48,Ministry of Heavy Industries,Production Linked Incentive (PLI) Scheme for Automobiles and Auto Components,0,3,604,20033.33333
Demand No. 48,Ministry of Heavy Industries,Production Linked Incentive (PLI) Scheme for National Programme on Advanced Chemistry Cell (ACC) Battery Storage,0,3,1,-66.66666667
Demand No. 48,Ministry of Heavy Industries,Enhancement of Competitiveness in the Indian Capital Goods Sector,28.94,200,250,25
Demand No. 48,Ministry of Heavy Industries,Industry Associations and PSUs for undertaking promotional activities,0.05,0.25,0,-100
Demand No. 49,Ministry of Home Affairs,Relief and Rehabilitation for migrants and repatriates,352.33,299.76,301.61,0.617160395
Demand No. 49,Ministry of Home Affairs,Freedom Fighters (pension and other benefits),729.2,688.14,653.08,-5.094893481
Demand No. 49,Ministry of Home Affairs,Helicopter Services,101.06,116,126,8.620689655
Demand No. 49,Ministry of Home Affairs,Infrastructure for Disaster Management,127.64,86.04,141.73,64.72570897
Demand No. 49,Ministry of Home Affairs,National Cyclone Risk Mitigation Project,169.99,300,0,-100
Demand No. 49,Ministry of Home Affairs,Other Disaster Management Schemes,238.11,106.74,251.92,136.0127412
Demand No. 49,Ministry of Home Affairs,Civic Action Programme and Media Plan,23.94,25,30,20
Demand No. 51,Police,"IVFRT (Immigration, Visa and Foreigners Registration and Tracking)",148.39,175,229.25,31
Demand No. 51,Police,"BSF Air Wing, Aircrafts, River Boats and Helibase",86.88,157.33,78.18,-50.30826924
Demand No. 51,Police,Border Infrastructure and Management,2662.11,2744.52,3545.03,29.16757757
Demand No. 51,Police,Police Infrastructure,2838.83,3918.84,3636.66,-7.200600178
Demand No. 51,Police,Narcotics Control Bureau,1.19,5,0,-100
Demand No. 51,Police,Schemes for Safety of Women,100,200,321,60.5
Demand No. 51,Police,Indian Cyber Crime Coordination Centre,1.11,59,94.4,60
Demand No. 51,Police,Modernization Plan IV for Central Armed Police Forces,30.92,248.3,202.27,-18.5380588
Demand No. 51,Police,Inter Operable Criminal Justice System,0,590.6,590.6,0
Demand No. 51,Police,Emergency Response Support System,0,150,0,-100
Demand No. 51,Police,Modernization of Prisons,50,400,250,-37.5
Demand No. 51,Police,Women Help Desk /Strengthening of Anti Human Trafficking Bureau,0,28,0,-100
Demand No. 51,Police,Modernization of Forensic Capacities,0,300,0,-100
Demand No. 60,Ministry of Housing and Urban Affairs,Metro Projects,23262,19130,19518,2.028227914
Demand No. 60,Ministry of Housing and Urban Affairs,Kochi Metro Rail Project Phase 1 A,0,0,0,
Demand No. 60,Ministry of Housing and Urban Affairs,Transport Planning and Capacity Building in Urban Transport,23.33,35,61.01,74.31428571
Demand No. 60,Ministry of Housing and Urban Affairs,National Capital Region Transport Corporation,188,4710,3596,-23.65180467
Demand No. 60,Ministry of Housing and Urban Affairs,Residential,2210.82,873.02,667.33,-23.56074317
Demand No. 60,Ministry of Housing and Urban Affairs,Non-residential,2685.79,2600.99,2132.62,-18.00737412
Demand No. 60,Ministry of Housing and Urban Affairs,North Eastern Regional Urban Development Project (NERUDP),98.03,0,0,
Demand No. 60,Ministry of Housing and Urban Affairs,Champion Services Sector Scheme - Nirman Kaushal Vikash Yojana,0,0.01,0,-100
Demand No. 60,Ministry of Housing and Urban Affairs,Prime Minister's Street Vendors' Atmanirbhar Nidhi (PM SVANIDHI),297.82,150,468,212
Demand No. 60,Ministry of Housing and Urban Affairs,Public Health Engineering (PHE) Sector Development Scheme,1.66,2,2,0
Demand No. 61,Ministry of Information and Broadcasting,Prasar Bharati,161.68,315,0,-100
Demand No. 61,Ministry of Information and Broadcasting,Information,211.21,184,0,-100
Demand No. 61,Ministry of Information and Broadcasting,Films,77.85,127.16,0,-100
Demand No. 61,Ministry of Information and Broadcasting,Strengthening of Broadcasting Activities,1.92,3.84,0,-100
Demand No. 61,Ministry of Information and Broadcasting,Broadcasting Infrastructure Network Development,0,0,600,
Demand No. 61,Ministry of Information and Broadcasting,Development Communication and Dissemination of Filmic Content,0,0,300,
Demand No. 61,Ministry of Information and Broadcasting,Development Communication and Information Dissemination,0,0,200,
Demand No. 61,Ministry of Information and Broadcasting,Supporting Community Radio Movement in India,0,0,5,
Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Farakka Barrage Project,1.83,110.98,55.98,-49.55847901
Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Dam Rehabilitation and Improvement Programme,23,100,50,-50
Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",National Ganga Plan and Ghat Works,1394.03,0,0,
Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",National Ganga Plan,0,2800,4000,42.85714286
Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",National River Conservation Plan,498.67,0,0,
Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",River Basin Management,168.31,97,110,13.40206186
Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Development of Water Resources Information System,155.23,185,162.13,-12.36216216
Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Ground Water Management and Regulation,168.99,375,330,-12
Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",National Hydrology Project,388.74,800,500,-37.5
Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Research and Development and Implementation of National Water Mission,30.79,52.88,50,-5.446293495
Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",HRD/Capacity Building Programme,4.6,0,0,
Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Infrastructure Development,5.06,0,0,
Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Atal Bhujal Yojna,0,700,1000,42.85714286
Demand No. 64,Ministry of Labour and Employment,Labour and Employment Statistical System (LESS),39.98,89,110,23.59550562
Demand No. 64,Ministry of Labour and Employment,Labour Welfare Scheme,64.22,120,75,-37.5
Demand No. 64,Ministry of Labour and Employment,Bima Yojana for Unorganised Workers,0,0.1,0,-100
Demand No. 64,Ministry of Labour and Employment,"Employees Pension Scheme, 1995",18478.33,8485,9167,8.037713612
Demand No. 64,Ministry of Labour and Employment,Social Security for Plantation Workers in Assam,50,60,60,0
Demand No. 64,Ministry of Labour and Employment,Pradhan Mantri Shram Yogi Maandhan,324.23,350,350,0
Demand No. 64,Ministry of Labour and Employment,Pradhan Mantri Karam Yogi Maandhan,0.24,50,3,-94
Demand No. 64,Ministry of Labour and Employment,Aatmanirbhar Bharat Rojgar Yojana,3930.61,6400,2272.82,-64.4871875
Demand No. 64,Ministry of Labour and Employment,National database for Unorganized Workers,255.24,500,300,-40
Demand No. 64,Ministry of Labour and Employment,National Child Labour Project including grants in aid to voluntary agencies and reimbursement of assistance to bonded labour,22.14,30,20,-33.33333333
Demand No. 64,Ministry of Labour and Employment,"Coaching and Guidance for SC,ST and Other Backward Classes",0,0,25,
Demand No. 64,Ministry of Labour and Employment,National Career Services,0,0,52,
Demand No. 65,Law and Justice,Designing Innovative Solutions for Holistic Access to Justice in India(DISHA),39.96,40,40,0
Demand No. 65,Law and Justice,e-Courts Phase II,98.29,0,0,
Demand No. 65,Law and Justice,e-Courts Phase III,0,1,0.01,-99
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Khadi Grant (KG),374.25,0,0,
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Scheme for Fund for Regeneration of Traditional Industries (SFURTI),372.37,334,280,-16.16766467
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Coir Vikas Yojana,79.81,80,92,15
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Solar Charkha Mission,0,5.04,0,-100
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Khadi Vikas Yojana,305.53,0,0,
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Gramodyog Vikas Yojana,56.63,0,0,
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Khadi Gramodyog Vikas Yojana,0,748.99,917,22.43154114
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises","ASPIRE (Promotion of Innovation, Rural Industry and Entrepreneurship)",8.64,20,22.23,11.15
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Credit Linked Capital Subsidy and Technology Upgradation Scheme,112.61,0,0,
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",MSME Champions Scheme,875,60.72,52.72,-13.17523057
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Prime Minister Employment Generation Programme (PMEGP),2889.37,2500,2700,8
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Credit Support Programme,1680,0.08,500.08,625000
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Interest Subvention Scheme for Incremental Credit to MSMEs,0,0.04,0,-100
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Distressed Assets Fund,0,100,0.04,-99.96
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Guarantee Emergency Credit Line (GECL) facility to eligible MSME borrowers,7445,15000,14100,-6
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Credit Linked Capital Subsidy (CLCS),0,0,1.06,
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Procurement and Marketing Support Scheme,5.17,24.96,96.35,286.0176282
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",International Cooperation Scheme,3.25,13,0,-100
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises","Studies, Publicity & International Cooperation (SPIC)",0,0,36.07,
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Mahatma Gandhi Institute for Rural Industrialisation,7.5,10.41,0,-100
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Promotional Services Institutions and Programme,130.66,182.82,0,-100
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises","Information, Education and Communication",2.94,6.76,0,-100
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Assistance to Training Institutions,47.96,32,30,-6.25
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Fund of Funds,180.35,486,575,18.3127572
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Entrepreneurship cum Skill Development Programme (ESDP),0,0,80,
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Infrastructure Development and Capacity Building,244.49,0,0,
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Infrastructure Development and Capacity Building.,0,588.03,0,-100
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Establishment of New Technology Centres,24.58,80,450,462.5
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Infrastructure Development and Capacity Building- EAP Component,144.76,0,0,
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Technology Centre Systems Programme (TCSP) EAP,0,205,350,70.73170732
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Construction of Office Accomodation- Capital Outlay on Public Works,12.21,0,0,
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Raising and Accelerating MSME Performance - RAMP,0,723,1170,61.82572614
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Micro and Small Enterprise-Cluster Development Programme (MSE-CDP),0,0,150,
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Tool Rooms & Technical Institutions (TR/TIs),0,0,100,
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Promotion of MSMEs in NER and Sikkim,0,0,50,
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Database Research Evaluation and Other Office Support Programme,0.24,2,0,-100
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises","Survey, Studies and Policy Research",1.95,5,0,-100
Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",National Schedule Caste/Schedule Tribe Hub Centre,101.87,150,100,-33.33333333
Demand No. 70,Ministry of Minority Affairs,Quami Waqf Board Taraqqiati Scheme and Sahari Waqf Sampati Vikas Yojna,7.72,15,17,13.33333333
Demand No. 70,Ministry of Minority Affairs,Education  Empowerment,2249.9,2515,1689,-32.84294235
Demand No. 70,Ministry of Minority Affairs,Skill  Development and Livelihoods,499.01,491.91,64.4,-86.90817426
Demand No. 70,Ministry of Minority Affairs,Special  Programmes of Minorities,21.84,53,26.1,-50.75471698
Demand No. 70,Ministry of Minority Affairs,PM-Viraasat Ka Samvardhan (PM VIKAS),0,0,540,
Demand No. 71,Ministry of New and Renewable Energy,Solar Power (Off-Grid),160.24,61.5,361.5,487.804878
Demand No. 71,Ministry of New and Renewable Energy,Other Renewable Energy Applications (OREA),0.06,0.1,0,-100
Demand No. 71,Ministry of New and Renewable Energy,Interest Payment and Issuing Expenses on the Bonds,124.35,124.36,0,-100
Demand No. 71,Ministry of New and Renewable Energy,Hydro Power (Grid),27.73,50,30,-40
Demand No. 71,Ministry of New and Renewable Energy,Hydro Power (Off-Grid),0.28,2,1,-50
Demand No. 71,Ministry of New and Renewable Energy,Green Energy Corridor,134.67,300,500,66.66666667
Demand No. 71,Ministry of New and Renewable Energy,Bio Energy Programme,0,0,381.85,
Demand No. 71,Ministry of New and Renewable Energy,Support Programme,0,0,123,
Demand No. 71,Ministry of New and Renewable Energy,Kisan Urja Suraksha evam Utthaan Mahabhiyan (KUSUM ),406.04,1715.9,1996.46,16.35060318
Demand No. 71,Ministry of New and Renewable Energy,National Green Hydrogen Mission,0,0.01,297,2969900
Demand No. 71,Ministry of New and Renewable Energy,Solar Power (Grid),2042.22,3304.03,4970,50.42236299
Demand No. 71,Ministry of New and Renewable Energy,Wind Power (Grid),1100,1050,1214,15.61904762
Demand No. 71,Ministry of New and Renewable Energy,Bio Power (Grid),53.45,50,0,-100
Demand No. 71,Ministry of New and Renewable Energy,Bio Power (Off-Grid),36.44,20,0,-100
Demand No. 71,Ministry of New and Renewable Energy,Biogas Programme (Off-Grid),7.28,30,0,-100
Demand No. 71,Ministry of New and Renewable Energy,Monitoring and Evaluation,0,0.1,0,-100
Demand No. 71,Ministry of New and Renewable Energy,Information and Public Advertising (I&PA),0.57,6,0,-100
Demand No. 71,Ministry of New and Renewable Energy,Human Resources Development and Training,20.01,30.93,0,-100
Demand No. 71,Ministry of New and Renewable Energy,International Relations,3.2,8,0,-100
Demand No. 71,Ministry of New and Renewable Energy,Research and Development,26.92,35,0,-100
Demand No. 72,Ministry of Panchayati Raj,Action Research,0,3,0,-100
Demand No. 72,Ministry of Panchayati Raj,International Contribution,0,0.2,0,-100
Demand No. 72,Ministry of Panchayati Raj,Media and Publicity,0,10,0,-100
Demand No. 72,Ministry of Panchayati Raj,Svamitva,139.99,150,76,-49.33333333
Demand No. 74,"Ministry of Personnel, Public Grievances and Pensions",Training Schemes,103.32,210.75,75.81,-64.02846975
Demand No. 74,"Ministry of Personnel, Public Grievances and Pensions",National Programme for Civil Services Capacity Building,0,0,105.69,
Demand No. 74,"Ministry of Personnel, Public Grievances and Pensions",Administrative Reforms and Pensioners' Scheme,17.32,44.25,0,-100
Demand No. 74,"Ministry of Personnel, Public Grievances and Pensions",Scheme for Administrative Reforms,0,0,21.75,
Demand No. 74,"Ministry of Personnel, Public Grievances and Pensions",Pensioner's Portal,0,0,3.5,
Demand No. 74,"Ministry of Personnel, Public Grievances and Pensions",Integrated Building for Institute of Secretariat Training and Management (ISTM) and other Institute of Department of Personnel and Training (DoPT),0,0,20,
Demand No. 76,Ministry of Petroleum and Natural Gas,Payment of differential royalty to State Governments,0.88,1.11,0,-100
Demand No. 76,Ministry of Petroleum and Natural Gas,Indian Strategic Petroleum Reserve Limited (ISPRL) Phase II (Construction of Cavems),210,600,508,-15.33333333
Demand No. 76,Ministry of Petroleum and Natural Gas,Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve,0,0,5000,
Demand No. 76,Ministry of Petroleum and Natural Gas,Payment to ISPRL for Strategic Crude Oil Reserve (O and M),129.49,210.58,202.81,-3.689809099
Demand No. 76,Ministry of Petroleum and Natural Gas,Pradhan Mantri JI-VAN Yojna,151.5,314.36,227.26,-27.70708742
Demand No. 76,Ministry of Petroleum and Natural Gas,National Bio-Fuel Fund,0,1,0,-100
Demand No. 76,Ministry of Petroleum and Natural Gas,Direct Benefit Transfer - LPG,177.06,4000,180,-95.5
Demand No. 76,Ministry of Petroleum and Natural Gas,LPG Connection to Poor Households,1568.44,800,0.01,-99.99875
Demand No. 76,Ministry of Petroleum and Natural Gas,Other subsidy payable including for North Eastern Region,391,811,1633.02,101.3588163
Demand No. 76,Ministry of Petroleum and Natural Gas,Feedstock Subsidy to BCPL/Assam Gas Cracker Complex,1042.92,137.5,392.06,185.1345455
Demand No. 76,Ministry of Petroleum and Natural Gas,Project Management Expenditure,241.65,64,52,-18.75
Demand No. 76,Ministry of Petroleum and Natural Gas,Direct  Benefit Transfer- Kerosene,1.53,0,0,
Demand No. 76,Ministry of Petroleum and Natural Gas,Phulpur Dhamra Haldia Pipeline Project,589.55,0,0,
Demand No. 76,Ministry of Petroleum and Natural Gas,National Seismic Programme,137.31,0,0,
Demand No. 76,Ministry of Petroleum and Natural Gas,Indradhanush Gas Grid Limited(IGGL)-part of the North East Natural Gas Pipeline Grid,850,1798.27,1800,0.096203573
Demand No. 76,Ministry of Petroleum and Natural Gas,Numaligarh Refinery Expansion Project,0,0,500,
Demand No. 76,Ministry of Petroleum and Natural Gas,One-time Grant to PSU OMCs for under recoveries in Domestic LPG,0,0,0,
Demand No. 76,Ministry of Petroleum and Natural Gas,Capital Support to Oil Marketing Companies,0,0,30000,
Demand No. 76,Ministry of Petroleum and Natural Gas,Scheme for promotion of flagging of merchant ships in India,0,0,290.44,
Demand No. 77,Ministry of Planning,Atal Innovation Mission(AIM) including Self Employment and Talent Utilization (SETU),341.96,155.31,155,-0.199600798
Demand No. 77,Ministry of Planning,Ongoing Programme and Schemes,584.39,6.75,4,-40.74074074
Demand No. 77,Ministry of Planning,Official Development Assistance for Sustainable Development Goals (EAP Component),0,0.01,433,4329900
Demand No. 77,Ministry of Planning,State Support Mission,0,0,40,
Demand No. 78,"Ministry of Ports, Shipping and Waterways",Research and Development (Ports),1,1,1.03,3
Demand No. 78,"Ministry of Ports, Shipping and Waterways",Sagarmala,455.56,412.79,450,9.014268757
Demand No. 78,"Ministry of Ports, Shipping and Waterways","Assistance to Ship Building, Research and Development",104.91,112,112,0
Demand No. 78,"Ministry of Ports, Shipping and Waterways",Grants to Inland Water Transport Authority of India,4.14,20,15,-25
Demand No. 78,"Ministry of Ports, Shipping and Waterways",IWAI Projects,76.5,76.5,0,-100
Demand No. 78,"Ministry of Ports, Shipping and Waterways",Actual Recoveries,-53.56,0,0,
Demand No. 79,Ministry of Power,Energy Conservation Schemes,40,60,30.9,-48.5
Demand No. 79,Ministry of Power,Deen Dayal Upadhyaya Gram Jyoti Yojna,4655.23,0,0,
Demand No. 79,Ministry of Power,Integrated Power Development Scheme,8468.64,0,0,
Demand No. 79,Ministry of Power,Strengthening of Power Systems,3295.41,2975.73,2902.62,-2.456876128
Demand No. 79,Ministry of Power,Power System Development Fund,771.71,604.48,1000,65.43144521
Demand No. 79,Ministry of Power,Reform Linked Distribution Scheme,814,7565.59,12071.6,59.55926768
Demand No. 79,Ministry of Power,Scheme for Promoting Energy Efficiency activities in different sectors of Indian Economy,0,0,103.8,
Demand No. 85,Ministry of Railways,Transfer to Central Road and Infrastructure Fund,59700,52700,12049.7,-77.13529412
Demand No. 85,Ministry of Railways,Transfer to National Investment Fund,36800,50000,29434.99,-41.13002
Demand No. 85,Ministry of Railways,New Lines,20783.9,25243,31850,26.17359268
Demand No. 85,Ministry of Railways,Gauge Conversion,2343.47,2850,4600,61.40350877
Demand No. 85,Ministry of Railways,Doubling,8681.95,12108.08,30749.4,153.9576878
Demand No. 85,Ministry of Railways,Computerisation,317.83,470,425,-9.574468085
Demand No. 85,Ministry of Railways,Traffic Facilities - Yard Remodelling and Others,1830.47,2045,6715,228.3618582
Demand No. 85,Ministry of Railways,Railway Research,30.82,51.05,61.5,20.47012733
Demand No. 85,Ministry of Railways,Rolling Stock,13492.54,7977.84,37581,371.0673566
Demand No. 85,Ministry of Railways,Leased assets - Payment of Capital Component,14580.8,22188,22228.57,0.182846584
Demand No. 85,Ministry of Railways,Road Safety Works - Level Crossings,450.36,1000,700,-30
Demand No. 85,Ministry of Railways,Road Safety Works - Road Over/Under Bridges,4225.24,6500,7400,13.84615385
Demand No. 85,Ministry of Railways,Track Renewals,16557.88,13335.47,17296.84,29.70551469
Demand No. 85,Ministry of Railways,"Bridge Works, Turnnel Works and Approaches",1302.18,940,1255,33.5106383
Demand No. 85,Ministry of Railways,Signalling and Telecom,2145.07,2500,4198.22,67.9288
Demand No. 85,Ministry of Railways,Electrification Projects,0.37,0,8070,
Demand No. 85,Ministry of Railways,Other Electrical Works,628.21,650,1650,153.8461538
Demand No. 85,Ministry of Railways,Machinery and Plant,898.18,600,740,23.33333333
Demand No. 85,Ministry of Railways,Workshop Including Production Units,2669.86,2045,4600.5,124.9633252
Demand No. 85,Ministry of Railways,Staff Welfare,473.35,495,628.82,27.03434343
Demand No. 85,Ministry of Railways,Customer Amenities,1995.75,2700,13355,394.6296296
Demand No. 85,Ministry of Railways,Investment in PSU/JV/SPV etc.,25750.57,38686.59,34353.55,-11.20036685
Demand No. 85,Ministry of Railways,Other Specified Works,543.02,740,1300,75.67567568
Demand No. 85,Ministry of Railways,Training/Human Resource Development,76.13,335,305,-8.955223881
Demand No. 85,Ministry of Railways,Stores Suspense,17874.22,20880.32,29512.87,41.34299666
Demand No. 85,Ministry of Railways,Manufacturing Suspense,37550.34,47065.22,55855.18,18.67612645
Demand No. 85,Ministry of Railways,Miscellaneous Advances,1869.26,1082.13,1304.93,20.5890235
Demand No. 85,Ministry of Railways,Metropolitan Transportation Projects,2524.31,2000,2450,22.5
Demand No. 85,Ministry of Railways,Transfer to Rashtirya Rail Sanraksha Kosh,25000,12000,10000,-16.66666667
Demand No. 85,Ministry of Railways,Transfer to Railway Safety Fund,10600,0,45000,
Demand No. 85,Ministry of Railways,Sovereign Green Fund,0,0,12479,
Demand No. 85,Ministry of Railways,Amount met from,-194425.54,-192087.7,-188150.07,-2.049912618
Demand No. 86,Ministry of Road Transport and Highways,National Highways Authority of India,57080.64,134015,162207,21.03645114
Demand No. 86,Ministry of Road Transport and Highways,Road Works,66236.98,64567.86,107713.38,66.82197613
Demand No. 86,Ministry of Road Transport and Highways,Works Financed from  PBFF,0,5.62,0,-100
Demand No. 86,Ministry of Road Transport and Highways,"Research, Training, Studies and Other Road Safety Schemes",163.41,356,330,-7.303370787
Demand No. 86,Ministry of Road Transport and Highways,Actual Recoveries,-61.13,0,0,
Demand No. 87,Department of Rural Development,Management Support to Rural Development Programs and Strengthening of District Planning Process,99.35,212.19,113.49,-46.51491588
Demand No. 87,Department of Rural Development,Socio-Economic and Caste Census Survey,0,0.01,0,-100
Demand No. 87,Department of Rural Development,Grants to National Institute of Rural Development,105.48,0,0,
Demand No. 88,Department of Land Resources,Land Records Modernization Programme,250.02,239.25,195.75,-18.18181818
Demand No. 89,Department of Science and Technology,Science and Technology Institutional and Human Capacity Building,914.79,1128,1068.4,-5.283687943
Demand No. 89,Department of Science and Technology,Research and Development,451.55,604.03,592,-1.991622933
Demand No. 89,Department of Science and Technology,"Innovation, Technology Development and Deployment",680.97,812.52,536.6,-33.95854871
Demand No. 89,Department of Science and Technology,National Mission on Interdisciplinary Cyber Physical Systems,0,350,580,65.71428571
Demand No. 90,Department of Biotechnology,Biotechnology Research and Development,1424.66,1315,1345,2.281368821
Demand No. 90,Department of Biotechnology,Industrial and Entrepreneurship Development,706.43,365,300,-17.80821918
Demand No. 91,Department of Scientific and Industrial Research,Industrial Research and Development,19.13,29,23.3,-19.65517241
Demand No. 91,Department of Scientific and Industrial Research,Assistance to PSEs for Other Scientific Research Schemes,11,10,21.73,117.3
Demand No. 92,Ministry of Skill Development and Entrepreneurship,Skill India Programme,0,0,2278.37,
Demand No. 93,Department of Social Justice and Empowerment,Scholarships for Higher Education for Young Achievers Scheme (SHREYAS) for SCs,271.2,364,371,1.923076923
Demand No. 93,Department of Social Justice and Empowerment,Scheme of Residential Education for Students in High School in Targeted Area (SRESHTA) for SCs,38.03,89,104.65,17.58426966
Demand No. 93,Department of Social Justice and Empowerment,Vanchit Ikai Samooh aur Vargon ki Arthik Sahayata (VISVAS) Yojana,0,80,0.02,-99.975
Demand No. 93,Department of Social Justice and Empowerment,Pradhan Mantri Dakshta Aur Kushalta Sampann Hitgrahi (PM DAKSH) Yojana,68.23,84,92.47,10.08333333
